title,link,problem
"Fatura paga, porém sem baixa no sistema",/tim-celular/fatura-paga-porem-sem-baixa-no-sistema_cZJhaZC2bR_kXiyB/,Cobrança indevida
COBRANÇA INDEVIDA AO CONSUMIDOR,/tim-celular/cobranca-indevida-ao-consumidor_kqxZvC7RTCkG1IL6/,Cobrança indevida
Cancelei meu plano e eles me cobraram um mês ainda que eu não usei,/tim-celular/cancelei-meu-plano-e-eles-me-cobraram-um-mes-ainda-que-eu-nao-usei_gCHWz6u6SF29nlKw/,Cobrança indevida
Cobrança indevida - Número e DDD que nunca tive .,/tim-celular/cobranca-indevida-numero-e-ddd-que-nunca-tive_A_RUSHjY2WFLl8nG/,Cobrança indevida
Aumeto de plano sem autorização,/tim-celular/aumeto-de-plano-sem-autorizacao_pSJ1z8LArvXrzLEw/,Cobrança indevida
COBRANÇA INDEVIDA,/tim-celular/cobranca-indevida_6WByGp5ovKAnM0QE/,Cobrança indevida
Valor incorreto da fatura,/tim-celular/valor-incorreto-da-fatura_Hp2IgotTkH8Ulq0R/,Cobrança indevida
cobrança de serviço,/tim-celular/cobranca-de-servico_xK4JNH26EFwnZLQm/,Cobrança indevida
Pedi o cancelamento do plano e continuo sendo cobrado,/tim-celular/pedi-o-cancelamento-do-plano-e-continuo-sendo-cobrado_5zjQyg9wcAzOHy0I/,Cobrança indevida
Serviços indevidos,/tim-celular/servicos-indevidos_eNkBGMeLYmxYdfYk/,Cobrança indevida
Cobrança após a portabilidade,/tim-celular/cobranca-apos-a-portabilidade_0WPZrNM1Zhaz3esM/,Cobrança indevida
