title,link,problem
Não solicitei o plano e estou sendo cobrada,/vivo-celular-fixo-internet-tv/nao-solicitei-o-plano-e-estou-sendo-cobrada_RxMeir9ZAYW7MAn1/,Cobrança indevida
Negativação indevida,/vivo-celular-fixo-internet-tv/negativacao-indevida_XHhlJ1PdExuk25vh/,Cobrança indevida
COBRANÇA DE PRODUTOS ADICIONAIS RECORRENTES,/vivo-celular-fixo-internet-tv/cobranca-de-produtos-adicionais-recorrentes_FHKPpqTLvhy7he5D/,Cobrança indevida
Reclamação,/vivo-celular-fixo-internet-tv/reclamacao_Vor8z3uKXNR691Qv/,Cobrança indevida
Valor do plano divergente do negociado,/vivo-celular-fixo-internet-tv/valor-do-plano-divergente-do-negociado_XxCkxl7A80j_Kukp/,Cobrança indevida
FATURA VIVO,/vivo-celular-fixo-internet-tv/fatura-vivo_zUOsOuMX6-cm7vVt/,Cobrança indevida
Fatura paga sendo cobrada,/vivo-celular-fixo-internet-tv/fatura-paga-sendo-cobrada_VAce98Cgn7xLr6bk/,Cobrança indevida
Recarga com o chip bloqueado sem avisar,/vivo-celular-fixo-internet-tv/recarga-com-o-chip-bloqueado-sem-avisar_SIz0ISi-W_prB1WY/,Cobrança indevida
desconto indevido do meu saldo pré-pago,/vivo-celular-fixo-internet-tv/desconto-indevido-do-meu-saldo-pre-pago_WlPU9bIvU4A83GJg/,Cobrança indevida
Cobrança indevida,/vivo-celular-fixo-internet-tv/cobranca-indevida_MaR-g8nU1IqDlT5Y/,Cobrança indevida
cobraça indevida/[Editado pelo Reclame Aqui],/vivo-celular-fixo-internet-tv/cobraca-indevida_mD8Hf-aP4BTQty34/,Cobrança indevida
Atendentes nem sabem o que dizem,/vivo-celular-fixo-internet-tv/atendentes-nem-sabem-o-que-dizem_3k1jt4HtlkHgcT5y/,Cobrança indevida
Vivo travel indevido na conta,/vivo-celular-fixo-internet-tv/vivo-travel-indevido-na-conta_APglvZyQ6Zo0sf3u/,Cobrança indevida
Não funciona,/vivo-celular-fixo-internet-tv/nao-funciona_NULVaHKaIDj5nP8X/,Cobrança indevida
Cobrança indevida,/vivo-celular-fixo-internet-tv/cobranca-indevida_Mi5YJpLQHscaDH6c/,Cobrança indevida
VIVO INCLUIU PLANO DE REDES SOCIAIS SEM MINHA AUTORIZAÇÃO E COBRA O SERVIÇO,/vivo-celular-fixo-internet-tv/vivo-incluiu-plano-de-redes-sociais-sem-minha-autorizacao-e-cobra-o-servico_3JlIfH7q1uG3iUWX/,Cobrança indevida
Cobrança de faturas,/vivo-celular-fixo-internet-tv/cobranca-de-faturas_q8YAMbIUQIDjPgez/,Cobrança indevida
Fatura,/vivo-celular-fixo-internet-tv/fatura_vYX3HIOZbl1w_utO/,Cobrança indevida
Nova cobrança indevida,/vivo-celular-fixo-internet-tv/nova-cobranca-indevida_83hdHd7YhnG-H-TD/,Cobrança indevida
